DC Bias Voltage (mV), DC Tunneling Current (mA)
1.410825, 0.024518
1.413724, 0.024534
1.415657, 0.024534
1.418557, 0.024582
1.420168, 0.024582
1.422745, 0.024566
1.424356, 0.024614
1.427256, 0.024614
1.429833, 0.024630
1.431444, 0.024614
1.433699, 0.024646
1.436277, 0.024630
1.438532, 0.024646
1.441110, 0.024695
1.442721, 0.024727
1.444976, 0.024695
1.448198, 0.024759
1.449486, 0.024743
1.452064, 0.024759
1.453997, 0.024791
1.455930, 0.024824
1.458507, 0.024840
1.460763, 0.024840
1.463018, 0.024888
1.464951, 0.024888
1.467206, 0.024840
1.469462, 0.024904
1.472039, 0.024904
1.474294, 0.024920
1.475583, 0.024920
1.478805, 0.024953
1.480094, 0.024920
1.483315, 0.024953
1.485571, 0.024936
1.486859, 0.025001
1.489437, 0.025001
1.492014, 0.025017
1.493947, 0.025033
1.496525, 0.025049
1.499102, 0.025130
1.500391, 0.025130
1.502646, 0.025146
1.506190, 0.025162
1.507157, 0.025098
1.510057, 0.025146
1.511990, 0.025178
1.514889, 0.025178
1.516500, 0.025210
1.519078, 0.025226
1.520366, 0.025194
1.522944, 0.025226
1.525199, 0.025275
1.527777, 0.025307
1.529710, 0.025323
1.531965, 0.025339
1.534220, 0.025355
1.536475, 0.025339
1.538731, 0.025371
1.541630, 0.025404
1.543563, 0.025404
1.545497, 0.025436
1.547430, 0.025420
1.550007, 0.025420
1.552585, 0.025452
1.554195, 0.025436
1.556773, 0.025484
1.559028, 0.025500
1.560961, 0.025484
1.562894, 0.025549
1.565150, 0.025532
1.567727, 0.025581
1.569982, 0.025597
1.572560, 0.025597
1.575137, 0.025613
1.576748, 0.025677
1.578681, 0.025694
1.580937, 0.025710
1.583192, 0.025726
1.585769, 0.025726
1.587702, 0.025726
1.589958, 0.025758
1.592213, 0.025742
1.594146, 0.025758
1.596401, 0.025774
1.598979, 0.025774
1.601556, 0.025790
1.603167, 0.025839
1.605422, 0.025806
1.607678, 0.025871
1.610255, 0.025839
1.612510, 0.025919
1.614443, 0.025935
1.616377, 0.025935
1.618954, 0.025935
1.621531, 0.025967
1.624109, 0.026000
1.626042, 0.026000
1.627975, 0.026016
1.629908, 0.026032
1.632486, 0.026048
1.635063, 0.026080
1.636674, 0.026080
1.638929, 0.026080
1.641507, 0.026112
1.643762, 0.026129
1.646339, 0.026129
1.648273, 0.026209
1.650206, 0.026209
1.652461, 0.026193
1.655361, 0.026241
1.656327, 0.026241
1.659227, 0.026290
1.661482, 0.026290
1.664060, 0.026338
1.665993, 0.026354
1.668570, 0.026354
1.670181, 0.026370
1.672758, 0.026386
1.674692, 0.026402
